displayUserNick,auctionSku,rateDate,rateContent
笑***光,颜色分类:63 天蓝色;尺寸:150/56A,2021-02-26 22:47:55,非常喜欢
果***8,颜色分类:63 天蓝色;尺寸:160/70A,2021-02-26 21:57:13,优衣库的东西就是版型好，舒服，适合腿粗的穿
黄***h,颜色分类:63 天蓝色;尺寸:165/72A,2021-02-19 12:49:20,裤子很好看，快递很给力👌
曦***宝,颜色分类:65 宝蓝色;尺寸:155/62A,2021-02-16 09:17:40,偏大
马***6,颜色分类:63 天蓝色;尺寸:150/54A,2021-02-04 16:19:11,非常好
顾***吖,颜色分类:65 宝蓝色;尺寸:150/54A,2021-01-28 15:31:49,不错
p***h,颜色分类:63 天蓝色;尺寸:150/56A,2021-01-20 14:55:28,"颜版型和面料都非常不错,提前为夏天囤货了"
蓝***6,颜色分类:63 天蓝色;尺寸:160/66A,2021-01-19 09:38:42,可
紫***无,颜色分类:63 天蓝色;尺寸:165/72A,2021-01-11 11:12:56,优家铁粉，价格合适，做工精良，亲民时尚，可以回购100年
柏***1,颜色分类:63 天蓝色;尺寸:150/54A,2020-12-27 15:03:39,裤子很划算 款式也显瘦
a***0,颜色分类:65 宝蓝色;尺寸:150/56A,2020-12-25 16:01:32,没试穿，不知道咋滴
a***0,颜色分类:63 天蓝色;尺寸:150/56A,2020-12-25 16:01:32,还好
s***0,颜色分类:63 天蓝色;尺寸:160/64A,2020-12-15 21:52:20,很好看，质量也还行，关键是价格便宜
f***9,颜色分类:63 天蓝色;尺寸:160/64A,2020-12-12 17:31:59,正好一身，舒服，优衣库真香
i***0,颜色分类:65 宝蓝色;尺寸:160/66A,2020-12-06 10:41:43,很软的牛仔棉
我***潘,颜色分类:65 宝蓝色;尺寸:160/66A,2020-12-02 21:22:32,第二次买了，第一次浅色，拍大了一个号，去裁缝铺子加了个松紧才凑合能穿，这次拍小一号正合适。质量还不错！
j***0,颜色分类:65 宝蓝色;尺寸:150/56A,2020-11-23 23:46:27,质量一般，做工差评
芭***妞,颜色分类:63 天蓝色;尺寸:160/64A,2020-11-21 16:06:53,还没见到实物，但是优衣库的品质还是让人放心的！双十一活动算是比较优惠，早买了几天贵了几十块但还是蛮划算的，赞赞赞。还没见到实物，但是优衣库的品质还是让人放心的！双十一活动算是比较优惠，早买了几天贵了几十块但还是蛮划算的，赞赞赞。
蓝***花,颜色分类:63 天蓝色;尺寸:150/54A,2020-11-19 12:14:49,舒适
日***w,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-19 12:09:15,很好，非常满意，没有发现问题
q***6,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-18 18:31:44,给孩子夏天囤的
珍***0,颜色分类:63 天蓝色;尺寸:150/56A,2020-11-07 09:28:37,不错
e***3,颜色分类:63 天蓝色;尺寸:160/66A,2020-11-02 13:57:58,便宜好穿百搭
m***1,颜色分类:63 天蓝色;尺寸:155/62A,2020-11-01 10:54:48,挺好的就是味道有点大
j***8,颜色分类:63 天蓝色;尺寸:160/64A,2020-10-18 14:11:31,时髦舒服，优衣库就是好
次***肉,颜色分类:63 天蓝色;尺寸:160/68A,2020-10-14 19:28:38,此用户没有填写评论!
l***n,颜色分类:63 天蓝色;尺寸:150/56A,2020-10-13 23:49:34,还行
f***m,颜色分类:65 宝蓝色;尺寸:160/70A,2020-10-12 20:04:01,上身效果不错，比较短
天***8,颜色分类:65 宝蓝色;尺寸:160/70A,2020-10-12 18:29:00,好
d***1,颜色分类:65 宝蓝色;尺寸:160/68A,2020-10-12 12:08:34,好看。。。
瓦***馆,颜色分类:00 白色;尺寸:160/64A,2020-10-07 17:33:16,之前买了深蓝色很好穿，看见还有白色又入了一条，比蓝色小一号居然穿着刚刚好，之前的蓝色66的腰有点松，平时都穿68或者70的，这款的腰真的大
x***u,颜色分类:65 宝蓝色;尺寸:160/64A,2020-10-07 12:03:42,很棒哒。 参照尺码表里的具体数值买，我的比平时小了四个码，根据臀围买的。
b***i,颜色分类:63 天蓝色;尺寸:150/54A,2020-10-03 09:31:56,尺寸合适，布料柔软，完美啊
j***i,颜色分类:63 天蓝色;尺寸:160/66A,2020-10-02 22:04:07,不错
g***3,颜色分类:63 天蓝色;尺寸:160/66A,2020-09-28 10:10:16,和实体店买的一样
波***y,颜色分类:63 天蓝色;尺寸:150/56A,2020-09-27 17:24:27,奇怪怎么会这么晚才发现这条裤子。真的很好穿，颜色百搭，面料舒服，满分。
c***2,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-25 11:20:18,第n条啦，有弹性！
无***1,颜色分类:63 天蓝色;尺寸:160/66A,2020-09-21 21:40:59,尺码合适
暴***时,颜色分类:63 天蓝色;尺寸:155/62A,2020-09-17 16:09:29,一般
瓦***馆,颜色分类:67 海蓝色;尺寸:160/66A,2020-09-17 10:28:18,比平时买小两个码，穿起来很合适，弹性很好很舒服
t***2,颜色分类:63 天蓝色;尺寸:160/68A,2020-09-15 21:47:43,还可以，存着明年穿
芗***多,颜色分类:63 天蓝色;尺寸:160/68A,2020-09-15 13:56:25,此用户没有填写评论!
耿***7,颜色分类:63 天蓝色;尺寸:150/54A,2020-09-15 13:01:33,颜色差别这么大的吗 我想买的是店里试的那个颜色 实物颜色很一般 懒得退了 图片是店里的颜色
t***0,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-14 23:02:42,衣服是好衣服 那物流有点离谱 本市快递员开始派送预计当天能到的消息给我发了三天还是四天 我一开始觉得可能耽搁了就没打电话 第三天打电话绝了 竟然打不通
小***0,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-13 23:35:09,裤子还可以，舒适度不错，就是洗了真的毛毛线会越来越长
慕***莲,颜色分类:00 白色;尺寸:150/56A,2020-09-13 15:52:06,此用户没有填写评论!
天***约,颜色分类:00 白色;尺寸:160/70A,2020-09-12 15:19:38,短裤来来回回折腾了好多次，颜色和款式总算换到合适的，腰围还有点大，不换了，太麻烦。裤腿宽松不热，还可以。
天***约,颜色分类:63 天蓝色;尺寸:160/70A,2020-09-12 15:19:38,短裤来来回回折腾了好多次，颜色和款式总算换到合适的，腰围还有点大，不换了，太麻烦。裤腿宽松不热，还可以。
天***约,颜色分类:67 海蓝色;尺寸:160/70A,2020-09-12 15:19:08,短裤来来回回折腾了好多次，颜色和款式总算换到合适的，腰围还有点大，不换了，太麻烦。裤腿宽松不热，还可以。
