displayUserNick,auctionSku,rateDate,rateContent
冰***泡,颜色分类:00 白色;尺码:160/90/M,2021-02-26 12:09:54,凉快
宇***波,颜色分类:00 白色;尺码:155/85/S,2021-02-25 00:21:08,一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
m***0,颜色分类:00 白色;尺码:160/90/M,2021-02-21 16:22:17,很薄很好
你***y,颜色分类:00 白色;尺码:155/85/S,2021-02-19 17:12:02,一如既往的好
x***4,颜色分类:00 白色;尺码:165/95/L,2021-02-16 18:20:36,面料滑爽，体感舒适！
回***掌,颜色分类:00 白色;尺码:155/85/S,2021-02-09 12:48:08,挺好
范***儿,颜色分类:00 白色;尺码:165/95/L,2021-02-07 10:12:45,很凉快，当打底穿
h***8,颜色分类:00 白色;尺码:170/100/XL,2021-02-06 19:03:49,不错
采***0,颜色分类:33 卡其色;尺码:165/95/L,2021-02-01 19:29:50,好
s***w,颜色分类:09 黑色;尺码:175/105/XXL,2021-02-01 00:49:23,回购
x***0,颜色分类:33 卡其色;尺码:160/90/M,2021-01-31 23:27:48,舒服
s***g,颜色分类:09 黑色;尺码:150/80/XS,2021-01-31 21:53:12,贴身，凉爽，四季都非常适合。
t***8,颜色分类:03 灰色;尺码:160/90/M,2021-01-31 12:42:12,质量保证，好好看，好好看，
奚***6,颜色分类:03 灰色;尺码:160/90/M,2021-01-30 17:53:53,挺好
c***n,颜色分类:03 灰色;尺码:165/95/L,2021-01-26 13:18:00,冬天用来打底，很合适。
c***n,颜色分类:09 黑色;尺码:165/95/L,2021-01-26 13:18:00,冬天用来打底，很合适。
w***8,颜色分类:00 白色;尺码:160/90/M,2021-01-26 07:13:26,浅色内搭还是要一件的
t***9,颜色分类:00 白色;尺码:175/105/XXL,2021-01-25 15:06:11,160，120斤穿T恤里面很好，准备再买长袖
阿***3,颜色分类:09 黑色;尺码:160/90/M,2021-01-19 10:02:18,好评
阿***3,颜色分类:03 灰色;尺码:160/90/M,2021-01-19 10:02:18,好评
陈***2,颜色分类:03 灰色;尺码:160/90/M,2021-01-17 15:22:28,舒适
l***3,颜色分类:09 黑色;尺码:165/95/L,2021-01-13 11:45:56,衣服很好，就是物流太**慢，从苏州到常州要三天差评
跳***7,颜色分类:33 卡其色;尺码:155/85/S,2021-01-06 18:55:07,颜色太重，没有灰色好看，显得脏脏的。
张***5,颜色分类:09 黑色;尺码:165/95/L,2021-01-06 11:04:29,挺好的
格***1,颜色分类:09 黑色;尺码:160/90/M,2021-01-05 20:31:33,还不错，加在一起4件了特别好穿，好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
t***0,颜色分类:09 黑色;尺码:155/85/S,2021-01-05 16:52:04,不错👍
w***1,颜色分类:00 白色;尺码:155/85/S,2021-01-04 21:00:54,一如既往的好穿，领口大，做内搭很合适
梦***期,颜色分类:03 灰色;尺码:155/85/S,2021-01-01 16:34:49,跟店里一样，这个颜色浅。
梦***期,颜色分类:03 灰色;尺码:155/85/S,2020-12-31 15:57:44,在商场看到之后这个颜色只有最后一个了还是脏的，就在天猫买了。
t***1,颜色分类:09 黑色;尺码:160/90/M,2020-12-30 09:30:03,好评
大***8,颜色分类:09 黑色;尺码:175/105/XXL,2020-12-27 09:01:32,弹力很好，很贴身，舒服。给妈妈也买了一件，一起穿。
大***8,颜色分类:09 黑色;尺码:160/90/M,2020-12-27 09:01:12,弹力很好，很贴身，舒服。给妈妈也买了一件，一起穿。
z***s,颜色分类:33 卡其色;尺码:160/90/M,2020-12-25 14:44:58,优衣库的内衣还是质量有保证的，这种款式可以搭配任意毛衣。
雯***q,颜色分类:09 黑色;尺码:170/100/XL,2020-12-23 21:25:20,打底首选优衣库喔！
终***9,颜色分类:09 黑色;尺码:165/95/L,2020-12-22 21:26:45,属于回购物品，好用。
终***9,颜色分类:33 卡其色;尺码:160/90/M,2020-12-22 21:26:45,属于多次回购的物品，好。
夏***2,颜色分类:03 灰色;尺码:165/95/L,2020-12-21 20:43:42,柔软舒适爽滑，适合秋天。158cm60kG买乚码有点大，准备再购件M码试试
妈***弃,颜色分类:09 黑色;尺码:160/90/M,2020-12-21 18:36:09,挺好穿的。打底必备。
时***钰,颜色分类:33 卡其色;尺码:160/90/M,2020-12-20 14:54:45,多年以来一家老小都穿这个牌子的衣服 内搭舒适 质量也好 这次有活动拍的价格也实惠 打算元旦再来入手😎
雪***l,颜色分类:03 灰色;尺码:155/85/S,2020-12-19 21:38:52,舒服，八分的袖长很喜欢，质量好
y***0,颜色分类:33 卡其色;尺码:155/85/S,2020-12-19 10:19:41,怎么买了件防紫外线的夏季打底衣&hellip;&hellip;
h***8,颜色分类:33 卡其色;尺码:155/85/S,2020-12-18 16:33:13,颜色略深，面料顺滑，舒适度较高，非常适合在里面打底
我***爱,颜色分类:00 白色;尺码:160/90/M,2020-12-18 02:52:13,很舒服。
我***爱,颜色分类:09 黑色;尺码:160/90/M,2020-12-18 02:52:13,因为很好穿，所以又买了3件。哈哈。
l***7,颜色分类:03 灰色;尺码:160/90/M,2020-12-17 07:33:11,发货快，面料舒服。喜欢！
j***o,颜色分类:03 灰色;尺码:150/80/XS,2020-12-16 23:25:53,摸起来很滑，质量不错啊，价格又实惠，更棒。
m***2,颜色分类:09 黑色;尺码:160/90/M,2020-12-15 22:12:08,很舒服，很喜欢优衣库
旬***钉,颜色分类:09 黑色;尺码:175/105/XXL,2020-12-14 16:00:14,挺好
旬***钉,颜色分类:03 灰色;尺码:175/105/XXL,2020-12-14 16:00:14,好
5***n,颜色分类:09 黑色;尺码:160/90/M,2020-12-14 10:15:22,可以
a***0,颜色分类:09 黑色;尺码:150/80/XS,2020-12-12 19:56:15,此用户没有填写评论!
c***i,颜色分类:00 白色;尺码:165/95/L,2020-12-12 19:38:37,这个薄度非常适合广州这样的冬天打底用
章***0,颜色分类:33 卡其色;尺码:165/95/L,2020-12-11 18:44:10,质量一般般
t***9,颜色分类:09 黑色;尺码:155/85/S,2020-12-11 09:53:09,非常好穿
乐***香,颜色分类:00 白色;尺码:170/100/XL,2020-12-08 11:35:40,舒爽滑溜，冬天打底不沾身
j***3,颜色分类:09 黑色;尺码:170/100/XL,2020-12-07 09:55:44,每年都买新的，东西很好，其实双十一线下门店活动也很多，感觉不如直接门店买核算
q***0,颜色分类:03 灰色;尺码:155/85/S,2020-12-07 08:35:46,很贴身
t***9,颜色分类:09 黑色;尺码:160/90/M,2020-12-06 15:26:28,衣服很好，非常好穿，料子舒服，滑滑的
b***1,颜色分类:09 黑色;尺码:170/100/XL,2020-12-06 14:27:56,可以
咖***5,颜色分类:09 黑色;尺码:155/85/S,2020-12-04 19:27:17,此用户没有填写评论!
咖***5,颜色分类:00 白色;尺码:155/85/S,2020-12-04 19:27:17,此用户没有填写评论!
天***8,颜色分类:03 灰色;尺码:155/85/S,2020-12-03 21:53:19,还好吧
z***0,颜色分类:09 黑色;尺码:165/95/L,2020-12-03 09:03:26,一般般手感不好
t***1,颜色分类:33 卡其色;尺码:170/100/XL,2020-12-02 16:57:57,此用户没有填写评论!
t***1,颜色分类:03 灰色;尺码:170/100/XL,2020-12-02 16:57:57,此用户没有填写评论!
c***1,颜色分类:00 白色;尺码:155/85/S,2020-12-01 12:25:30,喜欢
t***1,颜色分类:00 白色;尺码:155/85/S,2020-11-30 19:58:31,此用户没有填写评论!
黄***2,颜色分类:03 灰色;尺码:160/90/M,2020-11-30 13:43:05,一激动买错了，本来想买保暖内衣的
r***倩,颜色分类:00 白色;尺码:160/90/M,2020-11-30 13:38:15,做工厚实无瑕疵，打底裤质量好颜色样式多不会脱线穿上身后贴身有弹性✈⭕，拼多多的质量差，这家的就很好，上身效果非常好入水没有褪色变形，做工精细没有一丝线头！
